user_id,tenure_days,subscription_tier,avg_daily_minutes_last_7d,avg_daily_minutes_last_30d,sessions_last_7d,sessions_last_30d,avg_completion_rate,unique_genres_watched_30d,days_since_last_session,binge_sessions_last_30d,peak_hour_viewing_pct,original_content_pct,recommendation_click_rate,fatigue_label
U006253,74,Basic,0.0,5.0,3,13,0.05,4,2,0,87.8,27.4,0.02,1
U004685,268,Standard,0.0,5.0,2,8,0.065,1,2,0,90.6,30.5,0.209,0
U001732,176,Basic,66.0,76.7,8,34,0.446,1,5,0,29.9,71.3,0.218,0
U004743,7,Premium,78.0,105.1,6,23,0.509,5,2,1,58.3,46.0,0.175,0
U004522,154,Premium,71.1,75.2,4,17,0.38,6,6,2,95.0,79.6,0.171,0
U006341,51,Basic,31.5,33.7,4,15,0.188,2,0,0,76.6,60.5,0.025,0
U000577,28,Premium,96.5,74.4,5,22,0.505,7,8,0,90.3,26.5,0.182,1
U005203,185,Standard,12.2,7.4,6,26,0.549,1,1,2,95.0,44.9,0.151,0
U006364,114,Standard,20.7,19.1,3,13,0.094,1,7,0,89.4,41.5,0.02,1
U000440,15,Standard,84.8,59.1,5,22,0.364,3,0,0,69.0,29.6,0.134,0
U002751,88,Basic,0.0,5.0,5,20,0.331,1,2,0,95.0,73.8,0.054,1
U007488,585,Standard,62.2,54.0,4,16,0.154,4,0,1,69.2,44.7,0.208,0
U005273,63,Standard,111.0,113.7,7,29,0.544,8,1,3,81.0,2.8,0.23,1
U005654,78,Basic,67.3,66.6,8,35,0.545,8,1,1,69.7,45.1,0.255,0
U004000,31,Standard,0.0,5.0,6,22,0.587,3,6,1,73.5,43.1,0.449,1
U006034,47,Standard,121.4,156.8,8,35,0.485,5,0,1,69.0,72.2,0.249,0
U000583,122,Standard,96.4,94.8,6,25,0.717,3,0,2,47.2,50.2,0.265,0
U009931,311,Basic,15.4,21.6,4,16,0.412,5,0,1,75.3,42.2,0.257,1
U007052,134,Basic,99.9,86.6,7,29,0.52,2,1,3,47.5,48.5,0.203,1
